Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta1
P3PRRRR6G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P3PRRRR6G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;p
P3PRRRR6G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;p
P3PRRRR6G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P3PRRRR6G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6G2P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;o
P3PRRRR6G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;p
P3PRRRR6G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P3PRRRR6G3P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;p
P3PRRRR6G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;p
P3PRRRR6G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6G9P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;p
P3PRRRR6G9P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6G9P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;o
P3PRRRR6G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;o
