Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich Winkel1
P3PRRRR6V1G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;*
P3PRRRR6V1G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;090
P3PRRRR6V1G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;90
P3PRRRR6V1G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;090
P3PRRRR6V1G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;*
P3PRRRR6V1G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;90
P3PRRRR6V1G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;90
P3PRRRR6V1G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;090
P3PRRRR6V1G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;*
P3PRRRR6V1G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;90
P3PRRRR6V1G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;090
P3PRRRR6V1G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;90
