Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG
P3PRRRR9G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR9G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR9G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR9G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR9G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR9G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P3PRRRR9G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P3PRRRR9G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR9G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3PRRRR9G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
