Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta4
P3RRRPR3G1P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P3RRRPR3G1P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P3RRRPR3G2P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P3RRRPR3G2P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P3RRRPR3G2P8A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR3G3P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P3RRRPR3G3P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P3RRRPR3G4P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P3RRRPR3G4P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P3RRRPR3G9P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P3RRRPR3G9P8A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
