Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich Winkel1
P3RRRRR5G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G1P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G1P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G1P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;
P3RRRRR5G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G1P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G1P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G1P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;
P3RRRRR5G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G2P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G2P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G2P2A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;
P3RRRRR5G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G2P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G2P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G2P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;
P3RRRRR5G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G3P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G3P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G3P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;
P3RRRRR5G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P3RRRRR5G4P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RRRRR5G4P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR5G4P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;
