Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG
P3RRRRR6G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3RRRRR6G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3RRRRR6G1P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
P3RRRRR6G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3RRRRR6G1P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2
P3RRRRR6G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P3RRRRR6G2P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
P3RRRRR6G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3RRRRR6G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P3RRRRR6G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P3RRRRR6G3P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
P3RRRRR6G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P3RRRRR6G3P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
P3RRRRR6G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
P3RRRRR6G3P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2
P3RRRRR6G3P3A3;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
P3RRRRR6G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P3RRRRR6G4P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
P3RRRRR6G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
P3RRRRR6G4P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
P3RRRRR6G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
P3RRRRR6G4P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2
