Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG
P4RRRRR5G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P4RRRRR5G1P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
P4RRRRR5G1P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
P4RRRRR5G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P4RRRRR5G1P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
P4RRRRR5G1P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
P4RRRRR5G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P4RRRRR5G2P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
P4RRRRR5G2P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
P4RRRRR5G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P4RRRRR5G2P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
P4RRRRR5G2P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
P4RRRRR5G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P4RRRRR5G3P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
P4RRRRR5G3P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
P4RRRRR5G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
P4RRRRR5G4P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
P4RRRRR5G4P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
