Name;Beinkette;EE-FG (Basis-KS);;;;;
;;vx0;vy0;vz0;wx0;wy0;wz0
P5PRRRR3G9P8;S5PRRRR3;1;1;1;1;1;0
P5PRRRR4G9P8;S5PRRRR4;1;1;1;1;1;0
P5PRRRR6G1P8;S5PRRRR6;1;1;1;1;1;0
P5PRRRR6G9P8;S5PRRRR6;1;1;1;1;1;0
P5PRRRR7G9P8;S5PRRRR7;1;1;1;1;1;0
P5RPRRR2G9P8;S5RPRRR2;1;1;1;1;1;0
P5RPRRR4G1P8;S5RPRRR4;1;1;1;1;1;0
P5RPRRR4G9P8;S5RPRRR4;1;1;1;1;1;0
P5RPRRR5G1P8;S5RPRRR5;1;1;1;1;1;0
P5RPRRR5G9P8;S5RPRRR5;1;1;1;1;1;0
P5RRPRR2G9P8;S5RRPRR2;1;1;1;1;1;0
P5RRPRR3G1P8;S5RRPRR3;1;1;1;1;1;0
P5RRPRR3G9P8;S5RRPRR3;1;1;1;1;1;0
P5RRPRR4G1P8;S5RRPRR4;1;1;1;1;1;0
P5RRPRR4G9P8;S5RRPRR4;1;1;1;1;1;0
P5RRPRR5G1P8;S5RRPRR5;1;1;1;1;1;0
P5RRPRR5G9P8;S5RRPRR5;1;1;1;1;1;0
P5RRPRR6G1P8;S5RRPRR6;1;1;1;1;1;0
P5RRRPR1G9P8;S5RRRPR1;1;1;1;1;1;0
P5RRRPR2G1P8;S5RRRPR2;1;1;1;1;1;0
P5RRRPR2G9P8;S5RRRPR2;1;1;1;1;1;0
P5RRRPR3G9P8;S5RRRPR3;1;1;1;1;1;0
P5RRRRR5G1P8;S5RRRRR5;1;1;1;1;1;0
P5RRRRR5G9P8;S5RRRRR5;1;1;1;1;1;0
P5RRRRR6G1P8;S5RRRRR6;1;1;1;1;1;0
P5RRRRR6G9P8;S5RRRRR6;1;1;1;1;1;0
