Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3PRRRR12G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aaa
P3PRRRR12G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aaa
P3PRRRR12G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aao,aap,aoo,poa,poo,pop
P3PRRRR12G1P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;poa
P3PRRRR12G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aaa
P3PRRRR12G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aap,aoo,poa,poo,pop
P3PRRRR12G2P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;poa
P3PRRRR12G3P10A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aaa
P3PRRRR12G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aap,aoo,poa,poo,pop
P3PRRRR12G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aao,aop,poa,poo,pop
P3PRRRR12G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aaa
P3PRRRR12G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aao,aop,poa,poo,pop
