Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich Winkel1
P3PRRRR2V1G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3PRRRR2V1G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3PRRRR2V1G1P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3PRRRR2V1G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3PRRRR2V1G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3PRRRR2V1G2P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3PRRRR2V1G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3PRRRR2V1G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3PRRRR2V1G9P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3PRRRR2V1G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
