Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta1
P3PRRRR3G1P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;a
P3PRRRR3G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;a
P3PRRRR3G1P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;a
P3PRRRR3G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;a
P3PRRRR3G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;a
P3PRRRR3G2P9A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;a
P3PRRRR3G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;a
P3PRRRR3G3P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;a
P3PRRRR3G4P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;a
P3PRRRR3G9P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;a
P3PRRRR3G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;a
