Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RPRRR4G1P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;a
P3RPRRR4G1P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;a
P3RPRRR4G1P7A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;a
P3RPRRR4G1P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;a
P3RPRRR4G2P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR4G2P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR4G2P7A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR4G2P9A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR4G3P10A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR4G3P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR4G3P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR4G3P7A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;a
P3RPRRR4G4P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P3RPRRR4G4P7A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
