Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RPRRR8V2G1P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RPRRR8V2G1P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RPRRR8V2G1P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;
P3RPRRR8V2G2P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RPRRR8V2G2P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RPRRR8V2G2P9A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RPRRR8V2G3P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RPRRR8V2G3P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RPRRR8V2G4P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RPRRR8V2G9P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P3RPRRR8V2G9P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
