Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRPRR5G1P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR5G1P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR5G1P8A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR5G2P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR5G2P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR5G2P9A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR5G3P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR5G3P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR5G4P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR5G9P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
P3RRPRR5G9P8A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;a
