Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich Winkel1
P3RRPRR7G1P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRPRR7G1P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRPRR7G1P8A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;
P3RRPRR7G2P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRPRR7G2P3A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRPRR7G2P9A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRPRR7G3P10A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRPRR7G3P1A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRPRR7G3P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRPRR7G4P2A1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
