Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich theta4
P3RRRPR1G1P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR1G1P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR1G1P8A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR1G2P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR1G2P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR1G3P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR1G3P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR1G4P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR1G9P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR1G9P8A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
