Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRRPR2G1P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR2G1P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR2G1P8A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR2G2P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G2P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G2P9A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G3P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G3P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;a
P3RRRPR2G4P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P3RRRPR2G9P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
P3RRRPR2G9P8A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;a
