Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RRRRR15G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aa
P3RRRRR15G1P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;aa
P3RRRRR15G1P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;aa
P3RRRRR15G1P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;aa
P3RRRRR15G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aa
P3RRRRR15G2P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;aa
P3RRRRR15G2P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;aa
P3RRRRR15G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;aa
P3RRRRR15G3P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;aa
P3RRRRR15G3P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;aa
