Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Rangverlust Plattform-FG;Wertebereich Winkel1
P3RRRRR6G1P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3RRRRR6G1P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;
P3RRRRR6G1P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR6G1P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6G1P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6G1P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;
P3RRRRR6G1P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR6G1P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6G2P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;
P3RRRRR6G2P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR6G2P2A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6G2P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;
P3RRRRR6G2P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR6G2P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6G2P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3RRRRR6G3P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3RRRRR6G3P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;
P3RRRRR6G3P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR6G3P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6G3P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6G3P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;
P3RRRRR6G3P3A3;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3RRRRR6G3P3A4;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR6G3P3A5;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6G4P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
P3RRRRR6G4P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;
P3RRRRR6G4P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR6G4P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6G4P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6G4P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;
P3RRRRR6G4P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P3RRRRR6G4P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;
P3RRRRR6G9P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6G9P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;
P3RRRRR6G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;
