Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG;Wertebereich theta2
P4RPRRR5V1G1P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P4RPRRR5V1G2P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P4RPRRR5V1G2P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P4RPRRR5V1G2P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P4RPRRR5V1G2P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P4RPRRR5V1G3P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P4RPRRR5V1G4P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P4RPRRR5V1G9P1A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P4RPRRR5V1G9P2A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P4RPRRR5V1G9P3A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
P4RPRRR5V1G9P8A1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;a
