Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG;Wertebereich theta4
P4RRRPR3G1P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P4RRRPR3G2P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P4RRRPR3G2P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P4RRRPR3G2P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P4RRRPR3G2P8A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P4RRRPR3G3P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P4RRRPR3G4P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P4RRRPR3G9P1A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P4RRRPR3G9P2A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P4RRRPR3G9P3A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
P4RRRPR3G9P8A1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;a
