Name;Aktuierung Bein 1;;;;;Aktuierung Bein 2;;;;;Aktuierung Bein 3;;;;;Aktuierung Bein 4;;;;;Rangverlust Plattform-FG;Wertebereich Winkel1
P4RRRRR5G2P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P4RRRRR5G2P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P4RRRRR5G2P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P4RRRRR5G2P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;3;
P4RRRRR5G2P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P4RRRRR5G2P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P4RRRRR5G2P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P4RRRRR5G2P2A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;3;
P4RRRRR5G2P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P4RRRRR5G2P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;
P4RRRRR5G2P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P4RRRRR5G2P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;3;
P4RRRRR5G2P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P4RRRRR5G2P8A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P4RRRRR5G2P8A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P4RRRRR5G2P8A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;3;
P4RRRRR5G9P1A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P4RRRRR5G9P1A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P4RRRRR5G9P1A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P4RRRRR5G9P1A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;3;
P4RRRRR5G9P2A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P4RRRRR5G9P2A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P4RRRRR5G9P2A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P4RRRRR5G9P2A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;3;
P4RRRRR5G9P3A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P4RRRRR5G9P3A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;
P4RRRRR5G9P3A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P4RRRRR5G9P3A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;3;
P4RRRRR5G9P8A1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;
P4RRRRR5G9P8A2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
P4RRRRR5G9P8A3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
P4RRRRR5G9P8A4;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;3;
