Name;Beinkette;Gelenkgruppen
P4PRRR1G1P1;S4PRRR1;1-1-1-1
P4PRRRR1G3P1;S5PRRRR1;1-2-3-3-2
P4PRRRR2G2P1;S5PRRRR2;1-1-1-1-2
P4PRRRR2G3P1;S5PRRRR2;1-1-1-1-2
P4PRRRR2G9P1;S5PRRRR2;1-1-1-1-2
P4PRRRR2V1G1P2;S5PRRRR2V1;1-1-1-1-2
P4PRRRR2V1G1P3;S5PRRRR2V1;1-1-1-1-2
P4PRRRR2V1G1P8;S5PRRRR2V1;1-1-1-1-2
P4PRRRR2V1G2P1;S5PRRRR2V1;1-1-1-1-2
P4PRRRR2V1G3P1;S5PRRRR2V1;1-1-1-1-2
P4PRRRR2V1G9P1;S5PRRRR2V1;1-1-1-1-2
P4PRRRR3G2P1;S5PRRRR3;1-1-1-1-2
P4PRRRR3G3P1;S5PRRRR3;1-1-1-1-2
P4PRRRR3G9P1;S5PRRRR3;1-1-1-1-2
P4PRRRR3V1G1P2;S5PRRRR3V1;1-1-1-1-2
P4PRRRR3V1G1P3;S5PRRRR3V1;1-1-1-1-2
P4PRRRR3V1G1P8;S5PRRRR3V1;1-1-1-1-2
P4PRRRR3V1G2P1;S5PRRRR3V1;1-1-1-1-2
P4PRRRR3V1G3P1;S5PRRRR3V1;1-1-1-1-2
P4PRRRR3V1G9P1;S5PRRRR3V1;1-1-1-1-2
P4PRRRR4G1P2;S5PRRRR4;1-1-1-2-2
P4PRRRR4G1P3;S5PRRRR4;1-1-1-2-2
P4PRRRR4G1P8;S5PRRRR4;1-1-1-2-2
P4PRRRR4G2P1;S5PRRRR4;1-1-1-2-2
P4PRRRR4G3P1;S5PRRRR4;1-1-1-2-2
P4PRRRR4G9P1;S5PRRRR4;1-1-1-2-2
P4PRRRR4V1G1P2;S5PRRRR4V1;1-1-1-2-2
P4PRRRR4V1G1P3;S5PRRRR4V1;1-1-1-2-2
P4PRRRR4V1G1P8;S5PRRRR4V1;1-1-1-2-2
P4PRRRR4V1G2P1;S5PRRRR4V1;1-1-1-2-2
P4PRRRR4V1G3P1;S5PRRRR4V1;1-1-1-2-2
P4PRRRR4V1G9P1;S5PRRRR4V1;1-1-1-2-2
P4PRRRR6G1P1;S5PRRRR6;1-2-2-1-1
P4PRRRR6G2P1;S5PRRRR6;1-2-2-3-3
P4PRRRR6G2P2;S5PRRRR6;1-2-2-3-3
P4PRRRR6G2P3;S5PRRRR6;1-2-2-3-3
P4PRRRR6G2P8;S5PRRRR6;1-2-2-3-3
P4PRRRR6G3P1;S5PRRRR6;1-2-2-3-3
P4PRRRR6G3P2;S5PRRRR6;1-2-2-3-3
P4PRRRR6G3P3;S5PRRRR6;1-2-2-3-3
P4PRRRR6G3P8;S5PRRRR6;1-2-2-3-3
P4PRRRR6G4P1;S5PRRRR6;1-2-2-1-1
P4PRRRR6G9P1;S5PRRRR6;1-2-2-3-3
P4PRRRR6G9P2;S5PRRRR6;1-2-2-3-3
P4PRRRR6G9P3;S5PRRRR6;1-2-2-3-3
P4PRRRR6G9P8;S5PRRRR6;1-2-2-3-3
P4PRRRR6V1G1P1;S5PRRRR6V1;1-2-2-1-1
P4PRRRR6V1G2P1;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G2P2;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G2P3;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G2P8;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G3P1;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G3P2;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G3P3;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G3P8;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G4P1;S5PRRRR6V1;1-2-2-1-1
P4PRRRR6V1G9P1;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G9P2;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G9P3;S5PRRRR6V1;1-2-2-3-3
P4PRRRR6V1G9P8;S5PRRRR6V1;1-2-2-3-3
P4PRRRR7G2P2;S5PRRRR7;1-2-3-3-3
P4PRRRR7G2P3;S5PRRRR7;1-2-3-3-3
P4PRRRR7G2P8;S5PRRRR7;1-2-3-3-3
P4PRRRR7G3P2;S5PRRRR7;1-2-3-3-3
P4PRRRR7G3P3;S5PRRRR7;1-2-3-3-3
P4PRRRR7G3P8;S5PRRRR7;1-2-3-3-3
P4PRRRR7G9P2;S5PRRRR7;1-2-3-3-3
P4PRRRR7G9P3;S5PRRRR7;1-2-3-3-3
P4PRRRR7G9P8;S5PRRRR7;1-2-3-3-3
P4PRRRR7V1G1P1;S5PRRRR7V1;1-2-1-1-1
P4PRRRR7V1G2P2;S5PRRRR7V1;1-2-3-3-3
P4PRRRR7V1G2P3;S5PRRRR7V1;1-2-3-3-3
P4PRRRR7V1G2P8;S5PRRRR7V1;1-2-3-3-3
P4PRRRR7V1G3P2;S5PRRRR7V1;1-2-3-3-3
P4PRRRR7V1G3P3;S5PRRRR7V1;1-2-3-3-3
P4PRRRR7V1G3P8;S5PRRRR7V1;1-2-3-3-3
P4PRRRR7V1G4P1;S5PRRRR7V1;1-2-1-1-1
P4PRRRR7V1G9P2;S5PRRRR7V1;1-2-3-3-3
P4PRRRR7V1G9P3;S5PRRRR7V1;1-2-3-3-3
P4PRRRR7V1G9P8;S5PRRRR7V1;1-2-3-3-3
P4PRRRR8G1P1;S5PRRRR8;1-1-2-2-1
P4PRRRR8G2P1;S5PRRRR8;1-2-3-3-2
P4PRRRR8G3P1;S5PRRRR8;1-2-3-3-2
P4PRRRR8G9P1;S5PRRRR8;1-2-3-3-2
P4PRRRR8V1G1P1;S5PRRRR8V1;1-1-2-2-1
P4PRRRR8V1G2P1;S5PRRRR8V1;1-2-3-3-2
P4PRRRR8V1G3P1;S5PRRRR8V1;1-2-3-3-2
P4PRRRR8V1G9P1;S5PRRRR8V1;1-2-3-3-2
P4PRRRR8V2G1P1;S5PRRRR8V2;1-1-2-2-1
P4PRRRR8V2G2P1;S5PRRRR8V2;1-2-3-3-2
P4PRRRR8V2G3P1;S5PRRRR8V2;1-2-3-3-2
P4PRRRR8V2G9P1;S5PRRRR8V2;1-2-3-3-2
P4RPRR1G1P1;S4RPRR1;1-1-1-1
P4RPRRR12G1P1;S5RPRRR12;1-2-3-3-1
P4RPRRR12V1G1P1;S5RPRRR12V1;1-2-3-3-1
P4RPRRR12V2G1P1;S5RPRRR12V2;1-2-3-3-1
P4RPRRR12V3G1P1;S5RPRRR12V3;1-2-3-3-1
P4RPRRR2G1P2;S5RPRRR2;1-2-2-2-2
P4RPRRR2G1P3;S5RPRRR2;1-2-2-2-2
P4RPRRR2G1P8;S5RPRRR2;1-2-2-2-2
P4RPRRR2V1G1P2;S5RPRRR2V1;1-2-2-2-2
P4RPRRR2V1G1P3;S5RPRRR2V1;1-2-2-2-2
P4RPRRR2V1G1P8;S5RPRRR2V1;1-2-2-2-2
P4RPRRR2V1G2P1;S5RPRRR2V1;1-2-2-2-2
P4RPRRR2V1G3P1;S5RPRRR2V1;1-2-2-2-2
P4RPRRR2V1G9P1;S5RPRRR2V1;1-2-2-2-2
P4RPRRR6G1P1;S5RPRRR6;1-1-2-2-1
P4RPRRR6V1G1P1;S5RPRRR6V1;1-1-2-2-1
P4RPRRR6V2G1P1;S5RPRRR6V2;1-1-2-2-1
P4RPRRR6V3G1P1;S5RPRRR6V3;1-1-2-2-1
P4RPRRR7V1G1P1;S5RPRRR7V1;1-1-2-1-1
P4RPRRR7V3G1P1;S5RPRRR7V3;1-1-2-1-1
P4RPRRR8G1P2;S5RPRRR8;1-2-1-3-3
P4RPRRR8G1P3;S5RPRRR8;1-2-1-3-3
P4RPRRR8G1P8;S5RPRRR8;1-2-1-3-3
P4RPRRR8G2P1;S5RPRRR8;1-2-1-3-3
P4RPRRR8G3P1;S5RPRRR8;1-2-1-3-3
P4RPRRR8G9P1;S5RPRRR8;1-2-1-3-3
P4RPRRR8V1G1P2;S5RPRRR8V1;1-2-1-3-3
P4RPRRR8V1G1P3;S5RPRRR8V1;1-2-1-3-3
P4RPRRR8V1G1P8;S5RPRRR8V1;1-2-1-3-3
P4RPRRR8V1G2P1;S5RPRRR8V1;1-2-1-3-3
P4RPRRR8V1G3P1;S5RPRRR8V1;1-2-1-3-3
P4RPRRR8V1G9P1;S5RPRRR8V1;1-2-1-3-3
P4RPRRR8V2G1P2;S5RPRRR8V2;1-2-1-3-3
P4RPRRR8V2G1P3;S5RPRRR8V2;1-2-1-3-3
P4RPRRR8V2G1P8;S5RPRRR8V2;1-2-1-3-3
P4RPRRR8V2G2P1;S5RPRRR8V2;1-2-1-3-3
P4RPRRR8V2G3P1;S5RPRRR8V2;1-2-1-3-3
P4RPRRR8V2G9P1;S5RPRRR8V2;1-2-1-3-3
P4RPRRR8V3G1P2;S5RPRRR8V3;1-2-1-3-3
P4RPRRR8V3G1P3;S5RPRRR8V3;1-2-1-3-3
P4RPRRR8V3G1P8;S5RPRRR8V3;1-2-1-3-3
P4RPRRR8V3G2P1;S5RPRRR8V3;1-2-1-3-3
P4RPRRR8V3G3P1;S5RPRRR8V3;1-2-1-3-3
P4RPRRR8V3G9P1;S5RPRRR8V3;1-2-1-3-3
P4RPRRR9G1P1;S5RPRRR9;1-2-2-2-1
P4RPRRR9V1G1P1;S5RPRRR9V1;1-2-2-2-1
P4RPRRR9V2G1P1;S5RPRRR9V2;1-2-2-2-1
P4RPRRR9V3G1P1;S5RPRRR9V3;1-2-2-2-1
P4RRPR1G1P1;S4RRPR1;1-1-1-1
P4RRPRR10V1G1P1;S5RRPRR10V1;1-1-1-2-1
P4RRPRR10V5G1P1;S5RRPRR10V5;1-1-1-2-1
P4RRPRR12G1P1;S5RRPRR12;1-2-3-2-1
P4RRPRR12V1G1P1;S5RRPRR12V1;1-2-3-2-1
P4RRPRR12V2G1P1;S5RRPRR12V2;1-2-3-2-1
P4RRPRR12V3G1P1;S5RRPRR12V3;1-2-3-2-1
P4RRPRR12V4G1P1;S5RRPRR12V4;1-2-3-2-1
P4RRPRR12V5G1P1;S5RRPRR12V5;1-2-3-2-1
P4RRPRR13V1G1P1;S5RRPRR13V1;1-2-1-1-1
P4RRPRR13V3G1P1;S5RRPRR13V3;1-2-1-1-1
P4RRPRR1G1P1;S5RRPRR1;1-2-2-2-1
P4RRPRR1V1G1P1;S5RRPRR1V1;1-2-2-2-1
P4RRPRR2G1P2;S5RRPRR2;1-2-2-2-2
P4RRPRR2G1P3;S5RRPRR2;1-2-2-2-2
P4RRPRR2G1P8;S5RRPRR2;1-2-2-2-2
P4RRPRR2V1G1P2;S5RRPRR2V1;1-2-2-2-2
P4RRPRR2V1G1P3;S5RRPRR2V1;1-2-2-2-2
P4RRPRR2V1G1P8;S5RRPRR2V1;1-2-2-2-2
P4RRPRR2V1G2P1;S5RRPRR2V1;1-2-2-2-2
P4RRPRR2V1G3P1;S5RRPRR2V1;1-2-2-2-2
P4RRPRR2V1G9P1;S5RRPRR2V1;1-2-2-2-2
P4RRPRR4G1P2;S5RRPRR4;1-1-1-2-2
P4RRPRR4G1P3;S5RRPRR4;1-1-1-2-2
P4RRPRR4G1P8;S5RRPRR4;1-1-1-2-2
P4RRPRR4G2P1;S5RRPRR4;1-1-1-2-2
