Name;Aktuierung Bein 1;;;;;;Aktuierung Bein 2;;;;;;Aktuierung Bein 3;;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3PRRRRR5G1P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G1P10A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G1P1A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;aaa
P3PRRRRR5G1P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G1P2A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G1P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;aaa
P3PRRRRR5G1P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;aaa
P3PRRRRR5G1P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G1P9A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G2P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G2P10A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G2P1A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G2P1A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G2P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G2P2A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G2P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G2P3A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G2P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G2P8A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G2P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G2P9A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G3P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G3P10A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G3P1A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G3P1A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G3P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G3P2A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G3P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G3P3A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G3P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G3P8A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G3P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G3P9A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G4P1A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G4P1A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G4P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G4P2A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G4P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G4P3A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
P3PRRRRR5G4P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;aaa
P3PRRRRR5G4P8A2;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;aaa
