Name;Aktuierung Bein 1;;;;;;Aktuierung Bein 2;;;;;;Aktuierung Bein 3;;;;;;Rangverlust Plattform-FG;Wertebereich freie Winkel
P3RPRRRR3V4G1P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;a
P3RPRRRR3V4G1P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;a
P3RPRRRR3V4G2P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;a
P3RPRRRR3V4G2P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;a
P3RPRRRR3V4G2P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;a
P3RPRRRR3V4G2P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;3;a
P3RPRRRR3V4G2P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;a
P3RPRRRR3V4G3P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;a
P3RPRRRR3V4G3P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;a
P3RPRRRR3V4G3P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;a
P3RPRRRR3V4G3P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;3;a
P3RPRRRR3V4G3P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;a
P3RPRRRR3V4G4P10A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;a
P3RPRRRR3V4G4P1A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;3;a
P3RPRRRR3V4G4P2A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;a
P3RPRRRR3V4G4P3A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;a
P3RPRRRR3V4G4P8A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;3;a
P3RPRRRR3V4G4P9A1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;a
