Beinkette;Anzahl_Beinketten;G_Methode;P_Methode;Status;Anzahl_Akt
S5PRRRR3;5;9;8;0;0
S5PRRRR4;5;9;8;0;1
S5PRRRR6;5;1;8;0;1
S5PRRRR6;5;9;8;0;1
S5PRRRR7;5;9;8;0;0
S5RPRRR2;5;9;8;0;0
S5RPRRR4;5;1;8;0;0
S5RPRRR4;5;9;8;0;0
S5RPRRR5;5;1;8;0;1
S5RPRRR5;5;9;8;0;1
S5RRPRR2;5;9;8;0;0
S5RRPRR3;5;1;8;0;0
S5RRPRR3;5;9;8;0;0
S5RRPRR4;5;1;8;0;1
S5RRPRR4;5;9;8;0;1
S5RRPRR5;5;1;8;0;1
S5RRPRR5;5;9;8;0;1
S5RRPRR6;5;1;8;0;1
S5RRRPR1;5;9;8;0;0
S5RRRPR2;5;1;8;0;0
S5RRRPR2;5;9;8;0;0
S5RRRPR3;5;9;8;0;0
S5RRRRR5;5;1;8;0;3
S5RRRRR5;5;9;8;0;2
S5RRRRR6;5;1;8;0;2
S5RRRRR6;5;9;8;0;2
