Beinkette;Anzahl_Beinketten;G_Methode;P_Methode;Status;Anzahl_Akt
S6PRRRRR6V2;6;1;1;0;1
S6PRRRRR6V2;6;1;4;0;1
S6PRRRRR6V2;6;8;1;0;1
S6PRRRRR6V2;6;8;4;0;1
S6RPRRRR12V2;6;1;1;0;0
S6RPRRRR12V2;6;1;4;0;1
S6RPRRRR12V2;6;8;1;0;1
S6RPRRRR12V2;6;8;4;0;1
S6RRPRRR14V2;6;1;1;0;0
S6RRPRRR14V2;6;1;4;0;1
S6RRPRRR14V2;6;8;1;0;1
S6RRPRRR14V2;6;8;4;0;1
S6RRPRRR14V3;6;1;1;0;0
S6RRPRRR14V3;6;1;4;0;1
S6RRPRRR14V3;6;8;1;0;1
S6RRPRRR14V3;6;8;4;0;1
S6RRRRRR10V3;6;1;1;0;1
S6RRRRRR10V3;6;1;4;0;3
S6RRRRRR10V3;6;8;1;0;3
S6RRRRRR10V3;6;8;4;0;3
